id,title,description,author,image_url,genre
195,Deadville,"In the year 1833, two young brothers journey into the Wild West to seek their fortune; little do they know they’re embarking on the adventure of their lives. Expecting to stumble upon riches as they make their way westward, sixteen-year-old Dillon Griffith and his older brother Owen instead encounter hardship after hardship in the form of Indian raids, bloodthirsty villains, robbery, and kidnapping. With the help of a Shawnee trapper and scout, a runaway slave-turned–mountain man, and a beautiful American Indian warrior, the brothers battle the unexpected setbacks and obstacles that life in the West throws their way, and endeavor to find their place on the American frontier.Packed full of riveting action, gore, and vengeance, Deadville paints a thrilling—and historically pristine—picture of life in the Old West, from the physical environment to the social and economic milieus of frontier society. Jones’s famously meticulous research, inviting literary style, and suspenseful plot succeed in transporting readers to a time when lawlessness prevailed and buffalo roamed—when the belief in Manifest Destiny took America by storm and changed the country forever.",Robert F. Jones,http://books.google.com/books/content?id=tHQhAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction
196,The Tao of I Ching: Way to Divination,A new and refreshing way to understand and utilize the I Ching.,Tsung Hwa Jou,http://books.google.com/books/content?id=820EAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Body, Mind & Spirit"
197,Days of Grass,"The free humans lived underground, secretive, like rats. Above, the world was a fearsome place for them - the open sky a terror, the night so black, and the striding machines from space so laser-flame deadly. Esther dared the open; she saw the sky; she saw the Enemy. And she was taken - captive - to the vast alien empty city. Surrounded by marvels of a science not born on earth, Esther did not know what they wanted of her. There was mystery in the city, dread in the heavens, and magic in the handsome alien man who came to her.",Tanith Lee,http://books.google.com/books/content?id=r2mgnCKhACYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction
198,"Muchas vidas, muchos sabios","El doctor Brian Weiss -- psiquiatra del hospital Mount Sinai de Miami, EE.UU.—relata en este libro su experiencia con Catherine, una paciente a quien trato bajo hipnosis, luego de intentar sin exito durante un ano la terapia convencional. En estado de trance profundo -- solo un 15% de los hipnotizados logran llegar a este -- Catherine recordo sus vidas anteriores y revivio sus traumas que eran la clave de sus constantes pesadillas y su ansiedad, comenzando cuando se llamaba Aronda, en Egipto, 18 siglos antes de Cristo. El escepticismo del doctor comenzo a diluirse cuando Catherine empezo a dar muestras de la existencia de ""espacios entre una vida y otra,"" con sorprendentes acerca de la familia del Dr. Weiss y de su hijo fallecido. Al utilizar una terapia de ""vidas pasadas"" el Dr. Weiss pudo curar a esta paciente y avocarse a una nueva y mas significativa fase de su carrera.",Brian L. Weiss,http://books.google.com/books/content?id=n99eOXNr2_gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Body, Mind & Spirit"
199,New sounds: A listener's guide to new music,"Offers profiles of modern composers and musicians, discusses new trends in music, and looks at the influence of ethnic, folk, and electronic music",John Schaefer,http://books.google.com/books/content?id=23qfAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Music
200,Old-Fashioned Ckbk,"Distributed by the University of Nebraska Press for Caxton Press This book explains how to build the right kind of fire for the best results with a minimum of time and effort. Tempting recipes for hungry fishermen and hunters include pot roasts, mulligan stews, and dishes made from fish of various kinds, bear meat, buffalo, venison, upland game birds, rabbit, woodchuck, and many more.",Don Holm,http://books.google.com/books/content?id=E6qVMst9OO4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Cooking
201,Musings of an Eccentric Dreamer: An Anthology of Love Poetry,"In het koninkrijk Alban gaat het volk gebukt onder het schrikbewind van koning Keldec. Het gebruik van magie is er verboden. Contact met een van de vele magische wezens die het land bevolken, wordt steeds vaker met de dood bestraft. De vijftienjarige Neryn is samen met haar vader op de vlucht voor de krijgers van Keldec. Dan gebeurt er iets verschrikkelijks. Haar vader ondergaat als het ware een gedaanteverwisseling, en vóór het goed en wel tot Neryn doordringt, wordt ze door hem verspeeld in een illegaal dobbelspel. Neryn rest geen andere keuze dan zich te schikken naar de wensen van de geheimzinnige onbekende die nu haar heer en meester is. Maar er is hoop. Neryn ontdekt dat zij beschikt over een unieke gave, een onverwacht talent dat haar het doelwit maakt van verschillende partijen, onder wie de trawanten van Keldec. En dat talent komt maar wat van pas als Neryn het vluchten zat is en besluit terug te vechten...",Juliet Marillier,http://books.google.com/books/content?id=5ccvAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction
203,Introduction To Mathematics for Life Scientists,"A few decades ago mathematics played a modest role in life sciences. Today, however, a great variety of mathematical methods is applied in biology and medicine. Practically every mathematical procedure that is useful in physics, chemistry, engineering, and economics has also found an important application in the life sciences. The past and present training of life scientists does by no means reflect this development. However, the impact ofthe fast growing number of applications of mathematical methods makes it indispensable that students in the life sciences are offered a basic training in mathematics, both on the undergraduate and the graduate level. This book is primarily designed as a textbook for an introductory course. Life scientists may also use it as a reference to find mathematical methods suitable to their research problems. Moreover, the book should be appropriate for self-teaching. It will also be a guide for teachers. Numerous references are included to assist the reader in his search for the pertinent literature.",E. Batschelet,http://books.google.com/books/content?id=xirqCAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Mathematics
204,Guns for General Washington: A Story of the American Revolution (Great Episodes),"Seymour Reit re-creates the true story of Will Knox, a nineteen-year-old boy who undertook the daring and dangerous task of transporting 183 cannons from New York’s Fort Ticonderoga to Boston—in the dead of winter—to help George Washington win an important battle.",Seymour Reit,http://books.google.com/books/content?id=ATQRBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Juvenile Fiction
206,The Living Company,"With a light touch and an interesting variety of examples, de Geus employs biological metaphors in order to analyze corporate management.",Arie de Geus,http://books.google.com/books/content?id=8oKu2uhWBZgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Business & Economics
209,You Can Do It! Cheerleading,"Do you become the most talented cheerleader on the squad? The one that everyone admires, looks up to, even envies? Just imagine what life would be like if you were the best cheerleader in town: With your skill and talent, you could join any squad you wanted. You could take any position that you felt like - flyer, spotter, or base. The others on the squad would be asking you for advice, because they would look up to you as their role model, their idol. And just think how popular you would become - everybody loves a great cheerleader! Well you know what? You can do all of those things! You can be the cheerleader that suddenly everyone is talking about. You can be the best. Cheerleading Secrets was created from all of the secrets, the tips, the tricks, and the tactics of hundreds of cheerleaders. Here are just some of the amazing things that you will find inside: How a simple mirror can massively improve your cheerleading abilities. The 3 essential elements of a successful cheerleading exercise program. Why you never need worry about letting the squad down. Exactly what you must do if you make a mistake while cheerleading. 5 ways to improve your arm movements. How to jump so high that your friends will think you've got springs in your sneakers! Three things parents can do to increase the safety of cheerleading. A simple yet powerful method for memorising cheers and routines effortlessly (never worry about forgetting a routine again). How cheerleading can help you in life outside of the squad. Little known ways to get your cheerleading uniform for half price or less. The special trick you can do with your voice if you want to become a pro. The single most important thing you must do before and after your routine to give you a head start in any competition. What your game plan has to include if you don't want your squad to collapse into an embarrassing mess. Exactly what you should wear at tryouts to make sure you are the only one the judges are interested in. The most important benefit you can gain from cheerleading camp, and how to make sure you get it. This is a no-holds-barred guide to being the best. When you read the book and put into practice the Cheerleading Secrets inside, you will: Have squad coaches and captains begging you to join their squads at tryouts. Be able to take any position on the squad that you want, and do it better than anyone else! Save money by picking up outstanding cheerleading equipment and clothing, for ordinary prices. And as if that wasn't enough, here are just a few more of the fascinating facts that are revealed to you in Cheerleading Secrets: Squad Relations. How to get on with your team members. Ever had problems like jealously, or petty arguments? Not any more! How do completely eliminate nerves. Whether at practice or in a competition, everyone gets nervous from time to time, but Cheerleading Secrets shows you powerful methods to beat it. Three things you need to master in order to win every cheerleading competition you enter. Even if you've never been a cheerleader before, or never been in a squad, Cheerleading Secrets can help you: Learn how to get started in cheerleading even when you have no experience. The top five common mistakes made by would-be cheerleaders - find out if you're making one of them. What you need to do with your eyes when trying out for a squad. The one thing you have to do whilst waiting for your tryout, to improve your chances of selection. Who should read Cheerleading Secrets? Anyone who wants to be a better cheerleader. Those who dream of being a cheerleader, but haven't got onto a squad. Parents who want to be proud of their kids as they watch them evolve and progress, becoming the envy of other moms and dads. Anybody worried or concerned about the safety of cheerleading.",Janey Trishon,http://books.google.com/books/content?id=EqXwAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Sports & Recreation
210,Riverworld and Other Stories,"Three stories of a world shared by resurrected humans from all times and places—plus ten more tales by the Hugo Award–winning author of the World of Tiers series. On author Philip José Farmer’s Riverworld, humans from every era and culture have been simultaneously resurrected. Ancient Hebrews, medieval warriors, Spanish Inquisitors, and modern Americans intermingle in this strange new environment, but many still cling to old prejudices. Tom Mix, a silent-film star originally from early-twentieth-century Earth, is journeying among the vast population along the millions of miles of the River, in search of familiar faces from his own time. He’s been traveling the River for five years and believes people are starting to change. But when he’s entangled in a brutal clash between states, he discovers that some are slow to let go of the ideas that ruled them on Earth. This volume includes the novelette “Riverworld,” along with two additional Riverworld tales and ten other short stories, all strange, clever, and profound. Farmer’s explorations of the wonderful and bizarre—from a portrayal of Jesus and Satan as cowpokes to a reimagining of Edgar Rice Burroughs’s Tarzan in the style of William Burroughs—plunge the reader into “one of the most imaginative worlds in science fiction” (Booklist). This ebook includes“Riverworld,” “J. C. on the Dude Ranch,” “The Volcano,” “The Henry Miller Dawn Patrol,” “The Problem of Sore Bridge—Among Others,” “Brass and Gold (or Horse and Zeppelin in Beverly Hills),” “The Jungle Rot Kid on the Nod,” “The Voice of the Sonar in My Vermiform Appendix,” “Monolog,” “The Leaser of Two Evils,” “The Phantom of the Sewers,” “Up the Bright River,” “Crossing the Dark River,” and Philip JosFarmer’s article on the making of Riverworld, “The Source of the River.”",Philip José Farmer,http://books.google.com/books/content?id=TP4oDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction
212,A grand romance: A play,"THE STORY: The place is the Nebraska home of Susan and Robert Atwater. Robert has left his wife and gone off to California with a younger woman, and Susan has taken in her aged, increasingly cantankerous mother, Harriet, who has recently suffered a",David Wiltse,http://books.google.com/books/content?id=XQGJXCqE_IsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Drama
213,Tomorrow Will Be Better: A True Story of Love and One Family's Triumph over the Horrors of World War II,"Tells the story of Zdena Kapral's struggle during the German attacks and Nazi horror, the postwar Soviet takeover, and the partition of the Indian subcontinent",Zdena Kapral,http://books.google.com/books/content?id=fm5mAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Czechoslovakia
214,The Mayan Design Book (International Design Library),,Caren Caraway,http://books.google.com/books/content?id=4rpqAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Coloring books
216,Get Ready! For Standardized Tests : Math Grade 3,,Julia McMeans,http://books.google.com/books/content?id=dMCHZm8OhVgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Education
217,The Klutz Book of Jacks,"A 36-page, full-colour, spiral-bound collection of 20 of the most time-honoured, neighbourhood-approved, playground-tested, tournament-quality jacks games. Pigs in the Pen, Scatter, Slugsnail, and Seisnialp (that's 'plainsies' backward)-they're all here, and more. The Klutz Book of Jacks details all the finer points of the games with an enthusiasm that's catching. You'll play the games for funsies and love the book for suresies.",Klutz,http://books.google.com/books/content?id=1lNrmgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Juvenile Nonfiction
218,Martha Black : Her Story from the Dawson Gold Fields to the Halls of Parliament (Northern History Library),,Daniel Chartier,http://books.google.com/books/content?id=M6OBAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Arctic regions
219,Forging the Prairie West (Illustrated History of Canada),"This second volume in the Illustrated History of Canada series relates the eventful, occasionally violent history of the three prairie provinces (Manitoba, Saskatchewan, and Alberta). Covering exploration as well as economic, political, and social history, it presents a detailed account of the region's importance in Canadian history.",John Herd Thompson,http://books.google.com/books/content?id=2wB6AAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,History
220,Poems of the Pearl Manuscript (Exeter Medieval Texts and Studies),"For students of Middle English, Andrew and Waldron's The Poems of the Pearl Manuscript has been the key edition of the four Pearl poems for over thirty years. With the changing needs of today's university student in mind, The Poems of the Pearl Manuscript is presented in a fully updated and comprehensively revised version fit for the twenty-first century. Including a new introduction providing historical, literary, and cultural contexts for the poems, as well as a revised and updated bibliography, the fully revised Fifth Edition significantly revises and updates the explanatory notes, as well as makes minor changes to the text and glossary themselves. In addition, the authors have provided for the first time a complete prose translation of the four poems—Pearl, Cleanness, Patience, and Sir Gawain and the Green Knight—included on a CD-ROM at the back of the book for students to use as a working tool. This timely revision ensures the continued quality and consummate translation that students and scholars have come to expect from the Andrew-Waldron edition.","Malcolm Andrew', 'Ronald Waldron",http://books.google.com/books/content?id=zAxONAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Literary Collections
221,Immaterial Facts: Freud's Discovery of Psychic Reality and Klein's Development of His Work,"First published in 1999. Shows how Melanie Klien's studies of sexuality aggression, unconscious phantasy and identification in children extended and corrected Freud's theories of the development of the superego and early stages of the Oedipus complex.",Robert Caper,http://books.google.com/books/content?id=lSYiAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Psychology
222,The Monkey's Paw,"Jacobs was the author of 13 volumes of short stories, and 18 of these stories have been brought together for the first time in this gripping collection of macabre fiction. This book features Gothic narratives, stories of the macabre and supernatural tales. Many of them are also infused with shrewd and sardonic humour or which Jacobs was justifiably famous.",W. W. Jacobs,http://books.google.com/books/content?id=0WceAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Fiction
223,My World and Welcome to It,"A collection of humorous essays and stories, some previously published in magazines.",James Thurber,http://books.google.com/books/content?id=_whaAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,American wit and humor
224,Rodin in His Time: The Cantor Gifts to the Los Angeles County Museum of Art,"The sculpture of Auguste Rodin has become such an important part of our visual culture that it seems to have been with us always. The universal appeal of Rodin's work springs from its emotional expressiveness, its astonishingly lifelike vitality, and its passionate mirroring of the human condition. With his impressionistic technique, supported by a complete mastery of anatomical structure, Rodin overthrew the reigning academic precepts of finish and symmetry. By developing subjects beyond traditional allegories, he pointed the way to sheer abstraction in the twentieth century. This handsomely illustrated catalogue publishes for the first time in its entirety a major American collection of sculpture, the Cantor gifts to the Los Angeles County Museum of Art, and provides a rich context for Rodin's own work. It presents sculpture by Rodin's most important nineteenth-century forerunners--Jean-Baptiste Carpeaux, Albert-Ernest Carrier-Belleuse, François Rude, and others--as well as work by the contemporaries he admired, those with whom he competed, those he influenced, and those who moved from his orbit to develop their own styles at the dawn of the twentieth century. But the centerpiece of the book remains Rodin: forty-two works by the most influential sculptor of the modern period, all specially photographed and many shown in multiple views. -- Publisher description.","Los Angeles County Museum of Art', 'Mary L. Levkoff",http://books.google.com/books/content?id=Zk3qAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Rodin, Auguste, -- 1840-1917"
225,Florida Birds: An Introduction to Familiar Species (State Nature Guides),"Focusing on the North American continent, this book, the first of its kind, identifies and describes major field guides in all scientific subject areas (from plants, animals, and insects to astronomy and weather, geology and fossils, and man-made objects). Organized by topic, it offers complete bibliographic information and descriptions of more than 1,300 field guides.",Diane Schmidt,http://books.google.com/books/content?id=woPRDRpq1ekC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Nature
226,Plain And Simple - A Woman's Journey To The Amish,"""I had an obsession with the Amish. Plan and simple. Objectively it made no sense. I, who worked hard at being special, fell in love with a people who valued being ordinary."" So begins Sue Bender's story, the captivating and inspiring true story of a harried urban Californian moved by the beauty of a display of quilts to seek out and live with the Amish. Discovering lives shaped by unfamiliar yet comforting ideas about time, work, and community, Bender is gently coaxed to consider, ""Is there another way to lead a good life?"" Her journey begins in a New York men's clothing store. There she is spellbound by the vibrant colors and stunning geometric simplicity of the Amish quilts ""spoke directly to me,"" writes Bender. Somehow, ""they went straight to my heart."" Heeding a persistent inner voice, Bender searches for Amish families willing to allow her to visit and share in there daily lives. Plain and Simple vividly recounts sojourns with two Amish families, visits during which Bender enters a world without television, telephone, electric light, or refrigerators; a world where clutter and hurry are replaced with inner quiet and calm ritual; a world where a sunny kitchen ""glows"" and ""no distinction was made between the sacred and the everyday."" In nine interrelated chapters--as simple and elegant as a classic nine-patch Amish quilt--Bender shares the quiet power she found reflected in lives of joyful simplicity, humanity, and clarity. The fast-paced, opinionated, often frazzled Bender returns home and reworks her ""crazy-quilt"" life, integrating the soul-soothing qualities she has observed in the Amish, and celebrating the patterns in the Amish, and celebrating the patterns formed by the distinctive ""patches"" of her own life. Charmingly illustrated and refreshingly spare, Plain and Simple speaks to the seeker in each of us.",Sue Bender,http://books.google.com/books/content?id=4axy2kGahCEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Religion
229,Space Stations and Graveyards,Space Stations and Graveyards is a collaborative effort involving three of the most talented young horror writers today. Space Stations and Graveyards is a collection of 24 stories that reflect their love of science fiction and horror. And many of the stories within are actually an amalgam of the two genres. This book is a treat for the mind and soul... a Must Read for those familiar with these talented writers... and a Gotta Try for those that are not!,"Brannon Jason', 'S. Brown Eric', 'Grover John",http://books.google.com/books/content?id=o6WATmLQK9IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Fiction
230,Guide to Owning a Burmese Cat (Popular Cat Library),"A guide to the history, feeding, grooming, exhibition, temperament, health, and breeding of Burmese cats.",Justine O'Flynn,http://books.google.com/books/content?id=Fyb7HAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Juvenile Nonfiction
231,The History and Theory of Rhetoric: An Introduction (2nd Edition),"The History and Theory of Rhetoric offers discussion of the history of rhetorical studies in the Western tradition, from ancient Greece to contemporary American and European theorists that is easily accessible to students. By tracing the historical progression of rhetoric from the Greek Sophists of the 5th Century B.C. all the way to contemporary studies–such as the rhetoric of science and feminist rhetoric–this comprehensive text helps students understand how persuasive public discourse performs essential social functions and shapes our daily worlds. Students gain conceptual framework for evaluating and practicing persuasive writing and speaking in a wide range of settings and in both written and visual media. Known for its clear writing style and contemporary examples throughout, The History and Theory of Rhetoric emphasizes the relevance of rhetoric to today's students.",James A. Herrick,http://books.google.com/books/content?id=29VRCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Language Arts & Disciplines
232,Baseball Prospectus: 2001 Edition,"Extensively updated for the 2001 season, the ""Baseball Prospectus"" analyzes every top player in each organization--all the way down to rookie ball--with objective, intelligent commentary and irreverent humor.","Jeff Bower', 'Joseph Sheehan', 'Clay Davenport', 'Gary Huckabay', 'Chris Kahrl', 'Rany Jazayerli', 'Keith Law', 'Mat Olkin', 'Dave Pease",http://books.google.com/books/content?id=1BNalFRMcK0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Sports & Recreation
234,I Spy: 4 Picture Riddle Books (School Reader Collection Lvl 1: (Scholastic Reader Collection),Rhyming verses ask readers to find hidden objects in the photographs.,"Jean Marzollo', 'Walter Wick",http://books.google.com/books/content?id=edOLPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Juvenile Nonfiction
235,Napoleon (A Mentor book),"A concise history of Napoleon's life and times, recreated from period documents and decoded diaries.",Felix Maurice Hippisley Markham,http://books.google.com/books/content?id=qZ3tAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Biography & Autobiography
236,"The Jester's Quest (Winds of Light, Book 7)",No description available.,Ann Ann Howey,http://books.google.com/books/content?id=3C_hGEGdqcIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History
237,Voices in Summer,"A phenomenal, heartwarming tale by the much-loved Rosamunde Pilcher. Laura, newly married and ever conscious she may be living in the shadow of her husband Alec's first wife, decides to take a holiday with his family in Cornwall. Through the long hot summer days she is slowly charmed by the beautiful old house and the people she learns to know and love. In time her uneasy spirit is soothed by the sparkling, brilliant sea, and her restless heart finally calmed. But is this new-found tranquillity too good to be true? For with the arrival of an anonymous letter, one accusing her of having an affair, Laura's world is thrown into turmoil . . .",Rosamunde Pilcher,http://books.google.com/books/content?id=fyntDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction
239,Last Words of Saints and Sinners,"This collection of 700 quotes includes the last words of commoners, atheists, poets, and politicians along with noted Christians and martyrs. Ready reference source for the pastor or public speaker.",Herbert Lockyer,http://books.google.com/books/content?id=lxqUvPFdvooC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Religion
240,The Urban Primitive: Paganism in the Concrete Jungle,"In this alternative guide to Magick for Pagan city folk, the authors include practical recommendations not found anywhere else in a tone that is humorous and irreverent but full of serious information.","Raven Kaldera', 'Tannin Schwartzstein",http://books.google.com/books/content?id=NhF5Dh2ZvHEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Body, Mind & Spirit"
243,Ancient Israel,"Considered the leading book on the subject, this book is an authoritative exploration of the complete history of ancient Israel--from Abraham, the first Hebrew, to the Roman destruction of the Second Temple in 70 A.D. It offers superlative authorship from acknowledged leaders in their specialties, from a wide range of nationalities, faiths, and backgrounds. The book is quite manageable in length and is packed with vivid color and black-and-white photographs, maps, charts, and timelines.",Hershel Shanks,http://books.google.com/books/content?id=lwyWXwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Religion
244,103 Great Poems: A Dual-Language Book (Dover Dual Language German) (German and English Edition),"Exceptionally fine poetry by Germany's greatest literary figure, from his earliest, ""An den Schlaf"" (""To Sleep""), written when he was 18, to his last great poem, ""Verdächtnis"" (""Legacy""), written when he was 80.",Johann Wolfgang von Goethe,http://books.google.com/books/content?id=uyXDAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Foreign Language Study
245,Immodest Acts: The Life of a Lesbian Nun in Renaissance Italy,"The story of Sister Benedetta Carlini, Abbess of the Convent of the Mother of God, and Sister Bartolomea Crivelli represents the earliest documented lesbian relationship in Western history.",Judith C. Brown,http://books.google.com/books/content?id=Hn05PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Social Science
246,La Doctora: The Journal of an American Doctor Practicing Medicine on the Amazon River,"This doctor still makes house calls. In 1990, Dr. Linnea Smith went on vacation. The result? She abandoned a thriving medical practice in Wisconsin to serve the Yagua Indians in the deepest part of the Amazon rainforest of Peru alone. Today, Dr. Smith routinely hears the midnight cry of ""Doctora!"" from patients facing life-and-death emergencies. Accompany her on house calls where the unknown often awaits. Observe how she treats exotic diseases, alligator bites and complicated births almost a day's journey away from the closest hospital. Taken straight from the pages of Dr. Smith's journal, La Doctora offers readers a rare glimpse into the suspense and drama of practicing medicine in a culture far removed from the sophisticated supplies and supports of 20th-century medicine. Learn how Dr. Smith evolved from a ""strange white woman"" to an adopted member of the indigenous community. Her story of adventure, self-discovery and service creates an inspirational testimonial to one person's power to make a lasting difference.",Linnea Smith,http://books.google.com/books/content?id=fFGFPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Biography & Autobiography
247,Heartwood: Trickster's Game #1,"Year after year, season after season, for as long as Darak's people could remember, the battle of the Oak and the Holly had taken place, bringing an end to Winter and the rebirth of Spring. But this year the battle went wrong as Darak's brother became possessed by the spirit of the Holly. To free him, Darak must undertake a quest to restore the very balance of nature.",Barbara Campbell,http://books.google.com/books/content?id=UPjYJS5nNPYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction
248,Born In Secret (Firstborn Sons) (Silhouette Intimate Moments),"""I've courted danger all my life."" –Walker James, international spy",Kylie Brant,http://books.google.com/books/content?id=D1ZnAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction
251,The Stone that the Builder Refused: A Novel,"The Stone that the Builder Refused is the final volume of Madison Smartt Bell’s masterful trilogy about the Haitian Revolution–the first successful slave revolution in history–which begins with All Souls' Rising (a finalist for the National Book Award and the PEN/Faulkner Award) and continues with Master of the Crossroads. Each of these three novels can be read independently of the two others; of the trilogy, The Baltimore Sun has said, “[It] will make an indelible mark on literary history–one worthy of occupying the same shelf as Tolstoy’s War and Peace.”",Madison Smartt Bell,http://books.google.com/books/content?id=cHir6mDPmtwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction
252,A Field Guide to Butterflies of Texas (Texas Monthly Field Guide Series),"Meet the wild world of common Texas insects with this colorful and thorough introduction. Now you can identify that critter that just crawled under your bed or landed in your backyard. This extensive guide is packed with 384 color photos, thousands of facts and figures, and dozens of illustrations.","John A. Jackman', 'Bastiaan M. Drees",http://books.google.com/books/content?id=sTH5AQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Nature
255,Lost Indianapolis (IN) (Images of America),"A history of the city, told through the stories of the icons of the past, this book contains a collection of picture postcards, photographs and maps which provide a unique view of life in historic Indianapolis.","John McDonald', 'John P. McDonald",http://books.google.com/books/content?id=NEoUacBq55gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History
256,Eyewitness Travel Phrase Book: European (14 languages),"Explore this vast and beguiling country, from peaceful Darjeeling and vibrant Kolkata to Kanha National Park and its tigers, the idyllic Kerala backwaters and the majestic Taj Mahal. Seven itineraries help you to plan your trip, including the unmissable places to see in Delhi, a tour of the Golden Triangle and how to discover the Himalaya. Unique illustrations and floorplans, stunning photography and detailed maps make DK Eyewitness Travel Guide India the essential companion to your trip. You'll find listings for a variety of hotels and the finest places to sample Indian cuisine, as well as definitive guides to the history and culture of the country, plus insider tips on everything from shopping and entertainment to travel and communications. Winner of the Top Guidebook Series in the Wanderlust Reader Travel Awards 2017.",DK Travel,http://books.google.com/books/content?id=TTcnDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Travel
257,Conversations With Lincoln,"A Lincoln book that says something new is a rarity. Conversations with Lincoln is just such a book. In it Charles M. Segal has collected and presented more than one hundred interviews with Lincoln as President-elect and President. As a revelation of the intimate, human side of Abraham Lincoln, it will be a source of endless fascination to every reader interested in the Civil War era. This is a wide-ranging and engaging volume. The conversations collected here (between 1860 and 1865) range from brief remarks to extended discussions. Mr. Segal introduces each interview and the personalities involved. The collection is arranged chronologically, giving a rich picture of the Lincoln presidency. Charles M. Segal was born in Montreal, attended college there, and served in the Royal Canadian Air Force. He holds degrees from Skidmore College and Union College. After World War II, he became a reporter and a foreign correspondent for a number of papers in Canada and the United States. After settling in the U.S., he began his serious study of Lincoln and the Civil War. David Donald is Charles Warren Professor of American History Emeritus at Harvard University",Abraham Lincoln,http://books.google.com/books/content?id=IAXdi4aDgWcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History
